"1 The Worst Nicotine Addict I Have Yet to Meet","15","H1"
"It took me a long time to work it all out, basically because I was going about it back to front. I was trying to work out why it had been so easy to stop, whereas the real problem is trying to explain why smokers find it difficult to stop. Smokers talk about the terrible withdrawal pangs. but when I looked back and tried to remember those awful pangs, they didn't exist for me. There was no physical pain. It was all in the mind.","16"
"It is basically fear that keeps us smoking: the fear that life will never be quite as enjoyable without cigarettes and the fear of feeling deprived.","16"
"2 The Easy Method","17","H1"
"YOU HAVE ABSOLUTELY NOTHING TO LOSE AND SO MUCH TO GAIN!","17"
"1 What is it doing for me?
2 Do I actually enjoy it?
3 Do I really need to go through life paying through the nose just to
stick these things in my mouth and suffocate myself?","18"
"3 Why is it Difficult to Stop?","19","H1"
"As I said previously, the problem is not explaining why it is easy to stop; it is explaining why it is difficult.","19"
"The usual reason why we start smoking is to show we are grown up and mature. If we had to suck a dummy in public, we would die of embarrassment.","20"
"Some think it is the reverse, the macho effect of breathing smoke or fire down your nostrils. Again this argument has no substance. A burning cigarette in the ear would appear ridiculous. How much more ridiculous to breathe cancer-triggering tars into your lungs.","20"
"Many believe smoking relieves boredom. This is also a fallacy. Boredom is a frame of mind. There is nothing interesting about a cigarette.","20"
"For thirty-three years my reason was that it relaxed me, gave me confidence and courage. I also knew it was killing me and costing me a fortune. Why didn't I go to my doctor and ask him for an alternative to relax me and give me courage and confidence? I didn't go because I knew he would suggest an alternative. It wasn't my reason; it was my excuse.","20"
"Most smokers who think about it eventually come to the conclusion that it is just a habit. This is not really an explanation but, having discounted all the usual rational explanations, it appears to be the only remaining excuse. Unfortunately, this explanation is equally illogical. Every day of our lives we change habits, and some of them are very enjoyable. We have been brainwashed to believe that smoking is a habit and that habits are difficult to break.","20"
"we are in the habit of driving on the left side of the road. Yet when we drive on the Continent or in the States, we immediately break that, habit with hardly any aggravation whatsoever. It is clearly a fallacy that habits are hard to break. The fact is that we make and break habits every day of our lives.","21"
"The answer is that smoking is not habit: IT IS NICOTINE ADDICTION! That is why it appears to be so difficult to 'give up'.","21"
"4 The Sinister Trap","22","H1"
"The truth is that the most stressful periods for any creature are early childhood and adolescence. We tend to confuse responsibility with stress.","22"
"Smokers' lives automatically become more stressful because tobacco does not relax you or relieve stress, as society tries to make you believe. Just the reverse: it actually causes you to become more nervous and stressed.","22"
"5 Why Do We Carry on Smoking?","24","H1"
"No regular smoker knows why he or she smokes. If smokers knew the true reason, they would stop doing it.","24"
"The actual reason why smokers continue to smoke is a subtle combination of the factors that I will elaborate in the next two chapters. They are:
1 NICOTINE ADDICTION
2 BRAINWASHING","24"
"6 Nicotine Addiction","25","H1"
"Nicotine, a colorless, oily compound, is the drug contained in tobacco that addicts the smoker. It is the fastest addictive drug known to mankind, and it can take just one cigarette to become hooked.","25"
"As soon as the smoker extinguishes the cigarette, the nicotine rapidly starts to leave the body and the smoker begins to suffer withdrawal pangs.","25"
"There is no physical pain in the withdrawal from nicotine. It is merely an empty, restless feeling, the feeling of something missing, which is why many smokers think it is something to do with their hands. If it is prolonged, the smoker becomes nervous, insecure, agitated, lacking in confidence and irritable. It is like hunger - for a poison, NICOTINE","25"
"You know that feeling when a neighbor’s burglar alarm has been ringing all day, or there has been some other minor, persistent aggravation. Then the noise suddenly stops - that marvelous feeling of peace and tranquility is experienced. It is not really peace but the ending of the aggravation.","6"
"The whole business of smoking is like wearing tight shoes just to obtain the pleasure you feel when you take them off.","26"
"Picture the panic state of a heroin
addict who has no heroin. Now picture the utter joy when that addict can finally plunge a
hypodermic needle into his vein. Can you visualize someone actually getting pleasure by injecting
themselves, or does the mere thought fill you with horror? Non-heroin addicts don't suffer that
panic feeling. The heroin doesn't relieve it. On the contrary, it causes it.","26"
"The main reason that smokers find it difficult to
quit is that they believe that they are giving up a genuine pleasure or crutch. It is absolutely
essential to understand that you are giving up nothing whatsoever.","26"
"Like
hunger, there is no physical pain and the feeling is so imperceptible that we are not even aware of it
between cigarettes. It's only if we want to light up and aren't allowed to do so that we become aware of
any discomfort. But when we do light up we feel satisfied.","27"
"Eating doesn't create hunger and genuinely relieves it, whereas the first cigarette starts the
craving for nicotine and each subsequent one, far from relieving it, ensures that you suffer it
for the rest of life.","27"
"The only reason any smoker lights a cigarette
is to try to end the empty, insecure feeling that the previous cigarette created.","27"
"The real reason why every smoker goes on smoking is because
of that little monster inside his stomach. Every now and again he has to feed it. The smoker himself
will decide when he does that, and it tends to he on four types of occasion or a combination of them.","28"
"BOREDOM/CONCENTRATION - two complete opposites! STRESS/RELAXATION-two
complete opposites!","28"
"The truth is that
smoking neither relieves boredom and stress nor promotes concentration and relaxation. It is all just
illusion.","28"
"What we are actually doing when we learn to smoke is teaching our bodies to become
immune to the bad smell and taste in order to get our fix, like heroin addicts who think
that they enjoy injecting themselves. The withdrawal pangs from heroin are relatively
severe, and all they are really enjoying is the ritual of relieving those pangs.","29"
"The reason why most of us carry on smoking is because, although we know the disadvantages
outweigh the advantages, we believe that there is something in the cigarette that we actually enjoy
or that it is some sort of prop. We feel that after we stop smoking there will he a void, that certain
situations in our life will never be quite the
same. This is an illusion. The fact is the cigarette gives nothing; it only takes away and then
partially restores to create the illusion.","29"
"the actual withdrawal pangs are so mild that
most smokers have lived and died without ever
realizing that they have suffered them.","29"
"You will quite rightly ask why it is that many smokers find it so difficult to stop, go through
months of torture and spend the rest of their lives pining for a cigarette at odd times. The answer is the
second reason why we smoke - the brainwashing. The chemical addiction is easy to cope with.","29"
"Most smokers go all night without a cigarette. The withdrawal pangs do not even wake them up.","29"
